RAW Data export file (tab separated)


Client:	,SA95
Session:	SA95BP-6.75to4.25 
Date:	01-07-2018
Time:	14:33:24
Duration:	985	Seconds.
Output rate:	256	Samples/sec.

256 SPS	32 SPS	
Sensor-B:ECG/EKG	Sensor-G:RSP	


16695.301	663.287
16727.447	663.287
16751.449	663.287
16753.906	663.287
16742.418	663.287
16739.031	663.287
16738.287	663.236
16739.395	663.236
16752.324	663.236
16759.465	663.236
16745.014	663.236
16721.750	663.236
16719.160	663.236
16722.869	663.236
16721.422	663.184
16713.588	663.184
16659.270	663.184
16636.504	663.184
16608.691	663.184
16628.371	663.184
16649.521	663.184
16651.773	663.184
16643.389	663.139
16637.766	663.139
16641.365	663.139
16642.871	663.139
16640.184	663.139
16643.764	663.139
16651.895	663.139
16657.516	663.139
16656.186	663.101
16642.777	663.101
16627.363	663.101
16640.949	663.101
16743.188	663.101
17008.199	663.101
17424.348	663.101
17818.338	663.101
18075.285	663.052
18312.877	663.052
18557.209	663.052
18629.186	663.052
18464.918	663.052
18112.160	663.052
17483.385	663.052
16780.900	663.052
16534.211	663.012
16443.137	663.012
16595.436	663.012
16676.131	663.012
16693.154	663.012
16687.881	663.012
16679.365	663.012
16675.223	663.012
16671.494	662.943
16664.035	662.943
16662.801	662.943
16667.926	662.943
16667.797	662.943
16662.854	662.943
16663.252	662.943
16665.488	662.943
16666.900	662.899
16663.920	662.899
16657.281	662.899
16657.783	662.899
16660.689	662.899
16664.061	662.899
16666.857	662.899
16664.943	662.899
16663.043	662.869
16671.264	662.869
16677.545	662.869
16677.715	662.869
16680.939	662.869
16682.859	662.869
16685.176	662.869
16687.105	662.869
16691.943	662.825
16697.258	662.825
16700.313	662.825
16707.016	662.825
16713.592	662.825
16711.598	662.825
16711.313	662.825
16722.584	662.825
16746.020	662.769
16756.768	662.769
16769.279	662.769
16779.188	662.769
16791.418	662.769
16797.668	662.769
16818.977	662.769
16827.678	662.769
16856.240	662.706
16873.240	662.706
16887.777	662.706
16894.396	662.706
16915.547	662.706
16931.898	662.706
16945.088	662.706
16949.719	662.706
16959.879	662.615
16962.668	662.615
16972.643	662.615
16978.146	662.615
16976.404	662.615
16967.643	662.615
16954.977	662.615
16940.070	662.615
16918.166	662.553
16887.254	662.553
16857.607	662.553
16833.932	662.553
16814.018	662.553
16794.076	662.553
16778.742	662.553
16760.768	662.553
16738.266	662.548
16721.699	662.548
16714.371	662.548
16711.566	662.548
16708.188	662.548
16702.598	662.548
16697.533	662.548
16691.777	662.548
16688.326	662.589
16691.316	662.589
16693.398	662.589
16689.945	662.589
16687.998	662.589
16685.029	662.589
16684.641	662.589
16685.469	662.589
16685.672	662.680
16695.910	662.680
16701.904	662.680
16707.326	662.680
16700.934	662.680
16695.889	662.680
16696.926	662.680
16702.035	662.680
16702.691	662.846
16701.377	662.846
16707.422	662.846
16711.771	662.846
16710.182	662.846
16706.646	662.846
16706.762	662.846
16707.734	662.846
16705.684	663.002
16706.072	663.002
16707.512	663.002
16705.234	663.002
16703.871	663.002
16700.363	663.002
16693.648	663.002
16689.619	663.002
16686.496	663.131
16685.834	663.131
16685.375	663.131
16682.848	663.131
16681.705	663.131
16675.893	663.131
16668.766	663.131
16665.984	663.131
16661.299	663.288
16653.713	663.288
16651.553	663.288
16652.166	663.288
16647.738	663.288
16643.789	663.288
16642.070	663.288
16638.873	663.288
16638.531	663.508
16639.404	663.508
16634.811	663.508
16632.656	663.508
16629.449	663.508
16626.928	663.508
16624.014	663.508
16622.209	663.508
16616.494	663.741
16614.563	663.741
16615.127	663.741
16620.674	663.741
16622.584	663.741
16619.648	663.741
16609.131	663.741
16607.625	663.741
16604.998	664.006
16601.926	664.006
16600.119	664.006
16606.738	664.006
16612.385	664.006
16609.043	664.006
16600.535	664.006
16595.674	664.006
16592.895	664.203
16593.342	664.203
16592.406	664.203
16588.395	664.203
16588.449	664.203
16588.094	664.203
16585.555	664.203
16583.541	664.203
16582.002	664.381
16578.059	664.381
16582.451	664.381
16587.090	664.381
16587.242	664.381
16582.400	664.381
16576.262	664.381
16570.537	664.381
16565.398	664.585
16571.508	664.585
16577.785	664.585
16573.166	664.585
16572.150	664.585
16594.094	664.585
16628.215	664.585
16656.426	664.585
16660.746	664.788
16646.830	664.788
16639.336	664.788
16627.010	664.788
16643.551	664.788
16671.639	664.788
16678.439	664.788
16647.406	664.788
16632.883	664.984
16616.889	664.984
16622.172	664.984
16622.029	664.984
16604.311	664.984
16566.148	664.984
16522.555	664.984
16505.467	664.984
16522.324	665.132
16535.303	665.132
16527.895	665.132
16518.326	665.132
16517.346	665.132
16518.479	665.132
16520.785	665.132
16523.074	665.132
16524.643	665.299
16525.910	665.299
16525.301	665.299
16520.523	665.299
16515.211	665.299
16519.152	665.299
16546.455	665.299
16660.814	665.299
16941.404	665.501
17370.236	665.501
17777.289	665.501
18048.611	665.501
18283.689	665.501
18403.820	665.501
18553.318	665.501
18377.521	665.501
17979.842	665.680
17664.727	665.680
16601.807	665.680
16383.764	665.680
16346.051	665.680
16477.924	665.680
16533.717	665.680
16545.502	665.680
16565.295	665.846
16565.459	665.846
16563.914	665.846
16557.230	665.846
16548.990	665.846
16548.355	665.846
16555.313	665.846
16550.326	665.846
16541.449	666.028
16541.332	666.028
16548.297	666.028
16552.002	666.028
16551.873	666.028
16555.451	666.028
16557.537	666.028
16550.652	666.028
16548.697	666.262
16557.238	666.262
16562.105	666.262
16558.615	666.262
16557.324	666.262
16562.414	666.262
16568.162	666.262
16567.965	666.262
16567.828	666.476
16571.340	666.476
16577.682	666.476
16581.199	666.476
16585.414	666.476
16589.176	666.476
16592.465	666.476
16599.320	666.476
16601.902	666.663
16609.072	666.663
16623.518	666.663
16639.570	666.663
16644.879	666.663
16659.463	666.663
16664.496	666.663
16677.635	666.663
16689.762	666.894
16703.465	666.894
16712.316	666.894
16742.141	666.894
16759.672	666.894
16773.518	666.894
16779.016	666.894
16791.549	666.894
16800.346	667.115
16830.125	667.115
16834.344	667.115
16841.572	667.115
16851.770	667.115
16857.639	667.115
16857.850	667.115
16851.713	667.115
16840.797	667.316
16826.879	667.316
16810.457	667.316
16794.336	667.316
16768.852	667.316
16736.732	667.316
16713.975	667.316
16693.262	667.316
16668.635	667.506
16648.098	667.506
16633.896	667.506
16619.963	667.506
16607.125	667.506
16593.168	667.506
16584.314	667.506
16582.035	667.506
16581.049	667.728
16579.605	667.728
16567.420	667.728
16562.873	667.728
16560.824	667.728
16559.559	667.728
16562.971	667.728
16563.893	667.728
16558.857	667.948
16554.041	667.948
16551.875	667.948
16554.744	667.948
16563.752	667.948
16563.008	667.948
16559.955	667.948
16558.598	667.948
16559.811	668.189
16563.168	668.189
16570.467	668.189
16574.797	668.189
16578.102	668.189
16575.727	668.189
16571.734	668.189
16573.219	668.189
16578.617	668.388
16581.193	668.388
16577.439	668.388
16566.258	668.388
16568.570	668.388
16576.684	668.388
16581.248	668.388
16582.816	668.388
16579.523	668.580
16572.082	668.580
16569.516	668.580
16567.889	668.580
16567.402	668.580
16572.387	668.580
16572.096	668.580
16562.027	668.580
16552.727	668.788
16547.518	668.788
16547.168	668.788
16548.697	668.788
16547.180	668.788
16540.615	668.788
